x,y,z,vx,vy,vz,ax,ay,az,AttitudeAngleRespectOXY,LateralAttitudeAngleRespectOZ,time,velocity,acceleration,mach_number
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,0,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,1,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,2,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,3,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,4,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,5,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,6,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,7,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,8,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,9,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,10,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,11,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,12,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.0,0.0,85.0,3.0577325527910337e-16,13,0.0,0.0,0.032020074378608515
0.0,0.0,108.08,0.0,0.0,0.0,0.0,0.05577697802130916,0.6375337760735336,85.0,3.0577325527910337e-16,14,0.0,0.6399690515265313,0.032020074378608515
0.0,3.3249756613722924e-07,108.08000380046457,0.0,0.0001361827090913893,0.0015565754876463126,0.0,0.16551930884754434,1.89189435724434,85.0,3.0577325527910337e-16,15,0.0015625213531330782,1.899121086338189,0.03201979217559799
0.0,2.3166850038299814e-06,108.08002647983076,0.0,0.0006764903579693491,0.007732320173903405,0.0,0.5610153467370471,6.412434755856237,85.0,3.0577325527910337e-16,16,0.007761856380800863,6.436929214880923,0.03201867903780299
0.0,3.791184080680947e-05,108.08043333432332,0.0,0.005307613241083543,0.06066629694841355,0.0,0.828188644807882,9.466239526707128,85.0,3.0577325527910337e-16,17,0.06089803234711296,9.502399023845562,0.032009562251317396
0.0,0.00011767813186829196,108.08134506720214,0.0,0.011947448054537195,0.13655995614788444,0.0,1.0722534693563783,12.25591323656071,85.0,3.0577325527910337e-16,18,0.13708159299529601,12.302728834069732,0.031997814875321544
0.0,0.0002725236438631606,108.08311495950309,0.0,0.021006310593665898,0.24010322877365092,0.0,1.3020046479638991,14.881981224665736,85.0,3.0577325527910337e-16,19,0.24102038410119944,14.938827975267106,0.031984305126170655
0.0,0.0005243820328468068,108.08599371406207,0.0,0.032312177315918865,0.3693298767370513,0.0,1.5100941062499549,17.260454616528627,85.0,3.0577325527910337e-16,20,0.37074065686609137,17.326386749088087,0.031971523539444165
0.0,0.0008938675524070466,108.09021695287575,0.0,0.04570670961821208,0.522430081523289,0.0,1.8158051563514033,20.754747908720276,85.0,3.0577325527910337e-16,21,0.5244256795624657,20.834027673984718,0.031962247847354006
0.0,0.002019901849619043,108.1030875837876,0.0,0.0767611326565879,0.8773837610840014,0.0,2.0877139795019297,23.86267997891308,85.0,3.0577325527910337e-16,22,0.8807352245145135,23.953831539781415,0.03196524054802746
0.0,0.0037734165019681887,108.12313034797761,0.0,0.11304262864482197,1.2920831578519425,0.0,2.3605401998010427,26.98109794649663,85.0,3.0577325527910337e-16,23,1.2970187056074323,27.084161357393388,0.03201205888436515
0.0,0.006247173435712292,108.15140551911462,0.0,0.15432619450500032,1.7639564748782735,0.0,2.583915566051224,29.53429006588467,85.0,3.0577325527910337e-16,24,1.7706945020458442,29.647106255894446,0.032121840549576314
0.0,0.00953120869343015,108.18894221387444,0.0,0.2002930022842922,2.2893594919865565,0.0,2.819384344283466,32.22571051674651,85.0,3.0577325527910337e-16,25,2.2981044733242655,32.34880749563942,0.032314101863758604
0.0,0.013707940489420676,108.23668247675722,0.0,0.2504232182608298,2.8623504825471033,0.0,3.021520578781621,34.53613824934365,85.0,3.0577325527910337e-16,26,2.8732841963825555,34.66806068683073,0.032606374977768034
0.0,0.0188536024666978,108.29549766228983,0.0,0.304685186592485,3.482567618628702,0.0,3.2415385181080487,37.05095480339049,85.0,3.0577325527910337e-16,27,3.495870461165586,37.19248343156534,0.03301724308220723
0.0,0.025042575225171147,108.36623794461954,0.0,0.3627860165177417,4.146663143508228,0.0,3.3367477924434943,38.13920178875259,85.0,3.0577325527910337e-16,28,4.162502723063415,38.28488734361857,0.033562064715194004
0.0,0.030026680264569568,108.42320652590232,0.0,0.4054633938318688,4.634467798353381,0.0,3.394746204513113,38.80212667218544,85.0,3.0577325527910337e-16,29,4.652170712442965,38.95034449240957,0.03402843368383443
0.0,0.03557098223767828,108.48657818743725,0.0,0.44913472335935745,5.133633378983702,0.0,3.462249177076649,39.573689179178515,85.0,3.0577325527910337e-16,30,5.153243024498525,39.7248542428339,0.034561067365422346
0.0,0.04168721190265859,108.55648701240368,0.0,0.49362025733060555,5.6421053589913335,0.0,3.603020874469091,41.182717043122615,85.0,3.0577325527910337e-16,31,5.663657284865129,41.34002833182099,0.035158631588438204
0.0,0.05346794318896002,108.69114138717089,0.0,0.5717473264272355,6.535101845027262,0.0,3.7040451130314227,42.33742937373671,85.0,3.0577325527910337e-16,32,6.560064872404496,42.49915147594733,0.03633402522321197
0.0,0.06700608340209244,108.84588303788911,0.0,0.6525481514682279,7.458659501352074,0.0,3.819704195329972,43.6594187336985,85.0,3.0577325527910337e-16,33,7.487150368938383,43.82619062049821,0.03770453775865457
0.0,0.08235769434253856,109.02135275387005,0.0,0.7357450395975136,8.409604284096792,0.0,3.953522799281801,45.18897237595042,85.0,3.0577325527910337e-16,34,8.44172760626588,45.36158690917736,0.03926302038309676
0.0,0.10393325194087069,109.26796250568023,0.0,0.8420406582533914,9.624568764887849,0.0,4.084582450451573,46.686991043602575,85.0,3.0577325527910337e-16,35,9.661333053994497,46.86532776477685,0.041444925986807296
0.0,0.12846543604065044,109.54836665304168,0.0,0.9519583759450113,10.88093402710322,0.0,4.142370232751179,47.347508417747655,85.0,3.0577325527910337e-16,36,10.922497427406636,47.52836820798572,0.043894518292416494
0.0,0.15028256519153702,109.79773758033242,0.0,1.0419756441571169,11.909836110919285,0.0,4.235598331246898,48.413110459640706,85.0,3.0577325527910337e-16,37,11.95532975003089,48.59804067656467,0.0460253883558091
0.0,0.16967100751705047,110.01934849018211,0.0,1.1172058916337264,12.769721774326614,0.0,4.305894015695039,49.216593809541365,85.0,3.0577325527910337e-16,38,12.818500036978287,49.40459320233073,0.047880741362968014
0.0,0.19042370036043266,110.25655285480511,0.0,1.1939045063587566,13.646390952183053,0.0,4.364162923610391,49.88261047463862,85.0,3.0577325527910337e-16,39,13.698517948673398,50.07315394288982,0.0498338013451642
0.0,0.21256419479195582,110.50961986416641,0.0,1.2717575711213367,14.53625555434961,0.0,4.411622158427938,50.42507201085222,85.0,3.0577325527910337e-16,40,14.591781689055807,50.617687594045265,0.05187259349845837
0.0,0.2463738439013778,110.89606592182511,0.0,1.3835004668227604,15.813482696678891,0.0,4.488102376814137,51.29924490713308,85.0,3.0577325527910337e-16,41,15.873887631574739,51.49519968877472,0.05488543860416741
0.0,0.2760214444944827,111.23493954725568,0.0,1.4757808175393845,16.86825193188706,0.0,4.559437529909547,52.1146094380391,85.0,3.0577325527910337e-16,42,16.932685913907125,52.31367877972741,0.05744025568616244
0.0,0.307598629264845,111.59586842075487,0.0,1.5695938510058858,17.94053981108987,0.0,4.608319239585588,52.673329936284645,85.0,3.0577325527910337e-16,43,18.009069758608188,52.87453349950839,0.060090890385366746
0.0,0.34113421411636713,111.97918190961147,0.0,1.664653401069099,19.027075440189357,0.0,4.722473598846204,53.97812023322169,85.0,3.0577325527910337e-16,44,19.099755777295893,54.18430788340787,0.06282470527372704
0.0,0.3808961675840964,112.43366311740758,0.0,1.7725194927741061,20.25999051007204,0.0,4.718377361984128,53.931300031643666,85.0,3.0577325527910337e-16,45,20.337380382450274,54.13730883626607,0.06597771831994503
0.0,0.38726644102153435,112.50647567598038,0.0,1.7894038540324078,20.452979642353146,0.0,4.714277347546693,53.88443665218171,85.0,3.0577325527910337e-16,46,20.531106701864328,54.09026644630784,0.06647568668757427
0.0,0.3936970812905565,112.57997823059556,0.0,1.8062735568189876,20.64580122753579,0.0,4.710173558991856,53.83753013436045,85.0,3.0577325527910337e-16,47,20.724664834177222,54.04318075320877,0.06697434561849584
0.0,0.40018803610180315,112.65417018358298,0.0,1.8231285876258636,20.838455111223038,0.0,4.69695021731405,53.686386647365836,85.0,3.0577325527910337e-16,48,20.918054624402245,53.8914599226481,0.06747366692920372
0.0,0.41335065230789547,112.80461957525979,0.0,1.8567796669248036,21.22308870765429,0.0,4.6943652626832915,53.65684048073601,85.0,3.0577325527910337e-16,49,21.304157458685584,53.86180089446172,0.0684737440779364
